
2023/06/15 (23:05:56) | ===> btop++ v.1.2.13
2023/06/15 (23:05:56) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/15 (23:06:15) | ===> btop++ v.1.2.13
2023/06/15 (23:06:15) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/15 (23:12:49) | ===> btop++ v.1.2.13
2023/06/15 (23:12:49) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/15 (23:14:04) | ===> btop++ v.1.2.13
2023/06/15 (23:14:04) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/16 (12:46:42) | ===> btop++ v.1.2.13
2023/06/16 (12:46:42) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/16 (13:27:22) | ===> btop++ v.1.2.13
2023/06/16 (13:27:22) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/16 (13:40:59) | ===> btop++ v.1.2.13
2023/06/16 (13:40:59) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/16 (14:15:28) | ===> btop++ v.1.2.13
2023/06/16 (14:15:28) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/16 (14:15:41) | ===> btop++ v.1.2.13
2023/06/16 (14:15:41) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/16 (15:40:09) | ===> btop++ v.1.2.13
2023/06/16 (15:40:09) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/16 (15:47:28) | ===> btop++ v.1.2.13
2023/06/16 (15:47:28) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/16 (15:48:44) | ===> btop++ v.1.2.13
2023/06/16 (15:48:44) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.

2023/06/16 (21:22:36) | ===> btop++ v.1.2.13
2023/06/16 (21:22:36) | WARNING: Failed to set locale lang_Country.UTF-8 continuing anyway.
